VIN,Leather,4WD,Fog Lights,DVD Player,Surround
49LO90UW6DLQTR60S,No,Yes,No,Yes,No
RWSHUP7HICABUJE32,No,Yes,Yes,Yes,Yes
ZBTOHR2SKDQ59RCQF,No,Yes,No,Yes,No
ZJ5UY8DKA605TLXXN,No,No,No,No,Yes
9EJ825QYVSORYL7J6,Yes,Yes,No,Yes,Yes
7N20WQYW83LFSQTJ9,No,Yes,No,No,Yes
JW8X13BL9RL3F1WPG,Yes,Yes,No,No,Yes
WXR533S16HNS95PXU,Yes,Yes,Yes,Yes,Yes
3KQLG31CPCW16ZQMH,Yes,No,Yes,Yes,Yes
F9JNAMECZPP2TXROX,Yes,No,No,No,Yes
6UJ9JXXYEBQ7WWPU8,No,Yes,No,No,No
3FZGW0PBBMY2M9R7T,Yes,Yes,Yes,Yes,No
JKK91F3B26S3HCEQQ,Yes,Yes,Yes,Yes,No
JE1G5GMXD13YIZLH6,Yes,No,No,Yes,No
VDSHZIDL4L532QL5H,Yes,No,No,Yes,No
JQJ1RWBIZT4HLCWSM,No,No,Yes,No,Yes
G0DLK5OBT45VNF0PO,No,Yes,No,No,No
IR7HSMW2MB1180QND,Yes,No,No,No,No
YDO8QCO8BK883B53H,Yes,No,Yes,No,No
EYLCB309FONZ7Q26C,No,No,Yes,No,No
O4IVJHEEWJPCVF779,Yes,Yes,No,No,No
3UWTY8XJSTMHDJMYS,Yes,Yes,No,Yes,Yes
9JMLI8RSQA8DBZJHV,Yes,Yes,Yes,No,No
WEB72RDUQRRRHET1W,Yes,Yes,Yes,Yes,No
WDHIJ98XEPCCGV02M,No,No,No,Yes,No
7G4VXFODTKQF0NVEY,Yes,No,Yes,No,No
NLEDS4PWM4QR9XZG5,Yes,Yes,Yes,Yes,Yes
2TDG23U82VIOY0MCT,No,No,No,Yes,Yes
23IXDE1Z6RJ5WUZNW,No,Yes,Yes,No,No
M4I83VOX7UFXE0ED9,Yes,Yes,Yes,Yes,Yes
FCSNBF46M7B3K1GC9,No,No,No,No,Yes
ZKT9WT1ODATV9XIG5,No,Yes,No,Yes,Yes
VFUH9I0BHCRJUI37R,Yes,No,Yes,No,No
63T1PPCTEIF4VAF8G,No,No,Yes,Yes,Yes
9DPHKHCEIFDGZT7VV,No,No,No,No,No
YF5XTQKOQ7H71PFHV,No,Yes,Yes,No,No
Q2FIR8EYGEQA46HTD,Yes,No,No,Yes,No
1OOYBLYANM7GAK0W5,Yes,Yes,Yes,Yes,Yes
EQILV4BK425W8QEUO,No,Yes,No,No,No
RS57HTBQDMO2MDY3A,No,Yes,No,No,No
EUC7XLW8XUEWA1XZO,Yes,Yes,Yes,Yes,No
ZSQ55GAPTRV68VJ9Q,Yes,Yes,No,Yes,No
PPX86LMHXABXJ4D39,Yes,No,No,Yes,No
RL2F5QA8D1RTNNJD3,Yes,Yes,Yes,Yes,Yes
2UJORTTGWGJBT0RDO,No,Yes,No,Yes,No
YB9XBDJK6IM9Q0WUM,No,Yes,No,Yes,Yes
DHGMZP7N1X6NRZVLM,No,Yes,Yes,Yes,No
8FRFMAXSLJFGDHL0J,No,Yes,No,Yes,Yes
0Z9CBO3BASGSHVEYA,No,No,No,No,Yes
X48GMQZCLEGWJK6TF,No,Yes,No,No,Yes
TODWYS4U7Z93Y7EUW,Yes,Yes,Yes,Yes,No
WCJREZRUKY6J2R89L,Yes,Yes,No,Yes,No
LCD5AFJIE6ECC6JFF,No,Yes,Yes,No,No
9PAT7NNNLJNDDAITD,Yes,Yes,Yes,Yes,No
